Topic Area,Topic,Progress Level,Exercise
"Functional relationships (patterns and structures)",Allocations and proportionality,F,"In a lab, 3 chemical solutions are mixed in a ratio 2:3:5. If the total volume is 1 liter, how many mL of each solution are used?"
"Functional relationships (patterns and structures)",Allocations and proportionality,F,"A water tank is filled in 12 minutes using 3 identical taps. How long would it take using 5 taps?"
"Functional relationships (patterns and structures)",Allocations and proportionality,G,"Two variables satisfy y = kx; if y = 12 and x = 3, find k and rewrite the equation"
"Functional relationships (patterns and structures)",Allocations and proportionality,G,"A graph passes through (0, 0) and (3, 6); determine if it shows proportionality"
"Functional relationships (patterns and structures)",Allocations and proportionality,H,"Quantity y varies jointly with x and z; if y = 24 when x = 2 and z = 3, find y when x = 4 and z = 5"
"Functional relationships (patterns and structures)",Allocations and proportionality,H,"The brightness of a bulb is inversely proportional to the square of distance; find brightness at 3 m if it’s 100 units at 1 m"
"Functional relationships (patterns and structures)",Linear and other simple functions,B,"Complete the table using the rule: add 3.
 Input: 1 2 3 4 → Output: ___ ___ ___ ___"
"Functional relationships (patterns and structures)",Linear and other simple functions,B,"If the rule is x + 5, what is the output for x = 7? ______"
"Functional relationships (patterns and structures)",Linear and other simple functions,B,"Draw a line through the points (1, 3), (2, 4), and (3, 5) on a grid"
"Functional relationships (patterns and structures)",Linear and other simple functions,B,"Circle the pair that does not follow the rule x + 3: A) (2, 5) B) (4, 7) C) (3, 6) D) (5, 10)"
"Functional relationships (patterns and structures)",Linear and other simple functions,C,"Complete the table for the rule y = x + 3:
    x: 1 | 2 | 3 | 4
    y: ___ | ___ | ___ | ___"
"Functional relationships (patterns and structures)",Linear and other simple functions,C,"What is the input if the rule is y = x − 1 and the output is 6?"
"Functional relationships (patterns and structures)",Linear and other simple functions,C,"Complete: If y = x × 3, then x = 4 → y = ___"
"Functional relationships (patterns and structures)",Linear and other simple functions,C,"A function machine multiplies by 4, then adds 1. What does it output for input 2?"
"Functional relationships (patterns and structures)",Linear and other simple functions,C,"If y = x − 5, find y when x = 11"
"Functional relationships (patterns and structures)",Linear and other simple functions,D,"Find the slope of the line passing through the points (2, 3) and (6, 7)"
"Functional relationships (patterns and structures)",Linear and other simple functions,D,"Find the y-intercept of the line y = −2x + 7"
"Functional relationships (patterns and structures)",Linear and other simple functions,D,"Two lines are given: y = 2x + 3 and y = 2x − 1. Are they parallel? Why?"
"Functional relationships (patterns and structures)",Linear and other simple functions,D,"Graph the line y = −x + 4 by identifying slope and intercept"
"Functional relationships (patterns and structures)",Linear and other simple functions,D,"Write the equation of a line with slope 3 and y-intercept 5 in the form y = mx + b"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"Table of values shows: (1, 5), (2, 10), (3, 15). Write the equation and interpret the slope."
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"Graph the equation y = 2x − 1 for x = −2 to x = 3"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"A function is defined as f(x) = x/2 – 3. What is f(6)?"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"A cyclist rides 15 km in 1 hour, 30 km in 2 hours, and 45 km in 3 hours. Is this a linear relationship? Write the rule"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"Graph the function y = |x|. How does it compare to y = x² in shape and symmetry?"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"Which function grows faster: y = 3x or y = x²? Test using x = 1 to 5"
"Functional relationships (patterns and structures)",Linear and other simple functions,E,"The function y = x² models the area of a square with side length x. Graph the equation then use the plot to find y when x = 1, 2, 3, 4"
"Functional relationships (patterns and structures)",Linear and other simple functions,F,"Translate y = x² three units left and two down. What’s the new equation?"
"Functional relationships (patterns and structures)",Linear and other simple functions,F,"Determine if the table represents a linear function: x: 1, 2, 3, 4 | y: 2, 4, 8, 16"
"Functional relationships (patterns and structures)",Linear and other simple functions,F,"The graph of y = f(x) is shifted 3 units up to form y = f(x) + 3. If f(x) = 2x – 4, write the new equation"
"Functional relationships (patterns and structures)",Linear and other simple functions,F,"A population grows linearly from 200 to 500 in 10 years. Another grows exponentially, doubling every 5 years from 200. Which population is larger after 15 years?"
"Functional relationships (patterns and structures)",Linear and other simple functions,G,"Write the equation of a line with slope 4 passing through (1, –2)"
"Functional relationships (patterns and structures)",Linear and other simple functions,G,"Determine if the line y = 2x + 1 is parallel to y = 2x – 4"
"Functional relationships (patterns and structures)",Linear and other simple functions,G,"Sketch the piecewise function f(x) = x for x < 2, f(x) = 3 for x ≥ 2"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"The line y = 5x + b passes through (2, 11); find b"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"Determine the domain and range of the rational function f(x) = (3x + 2)⁄(x − 1)"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"Sketch the graph of the exponential function f(x) = eˣ − 2 and describe its end behavior as x increases"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"Show all steps to compute the area under the curve f(x) = 2x from x = 1 to x = 4 using definite integration"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"Use the first derivative test to determine where the function f(x) = x⁴ − 8x² increases and decreases"
"Functional relationships (patterns and structures)",Linear and other simple functions,H,"Determine the x-intercepts and asymptotes of the logarithmic function f(x) = ln(x − 2)"
"Functional relationships (patterns and structures)",Equations and algebra,B,"Make both sides equal: 5 + 5 = ___ + 4"
"Functional relationships (patterns and structures)",Equations and algebra,B,"Fill in the blank: 5 + ___ = 12"
"Functional relationships (patterns and structures)",Equations and algebra,B,"I had x apples. I got 3 more, now I have 7. What is x? ______"
"Functional relationships (patterns and structures)",Equations and algebra,B,"Mia baked x cookies. She gave away 4 and had 6 left. What is x? ______"
"Functional relationships (patterns and structures)",Equations and algebra,B,"If x = 7, what is x – 3? ______"
"Functional relationships (patterns and structures)",Equations and algebra,C,"Solve for x: x + 5 = 12"
"Functional relationships (patterns and structures)",Equations and algebra,C,"Which value of x makes this true: x ÷ 3 = 4"
"Functional relationships (patterns and structures)",Equations and algebra,C,"If x = 2, solve: x + 4 = ___"
"Functional relationships (patterns and structures)",Equations and algebra,C,"Complete the equation: x + x = 16"
"Functional relationships (patterns and structures)",Equations and algebra,D,"Solve: 2x + 3 = 11"
"Functional relationships (patterns and structures)",Equations and algebra,D,"Solve: 4(x − 2) = 12"
"Functional relationships (patterns and structures)",Equations and algebra,D,"Simplify 2x+3x=5x"
"Functional relationships (patterns and structures)",Equations and algebra,D,"Find the missing value: 2x = x + 6"
"Functional relationships (patterns and structures)",Equations and algebra,E,"Solve for x: 5(x – 1) = 3x + 7"
"Functional relationships (patterns and structures)",Equations and algebra,E,"Solve the system: x + y = 10 and x – y = 2"
"Functional relationships (patterns and structures)",Equations and algebra,E,"A movie ticket costs €x for adults and €y for students. If 3 adults and 2 students pay €40, and 1 adult and 3 students pay €30, find x and y"
"Functional relationships (patterns and structures)",Equations and algebra,E,"Two linear functions are given by: f(x) = 2x + 1 and g(x) = –x + 7. Find the x-value where f(x) = g(x) and interpret it graphically"
"Functional relationships (patterns and structures)",Equations and algebra,F,"Solve the following equation: 2x² + 5x + 3 = 0 by factoring"
"Functional relationships (patterns and structures)",Equations and algebra,F,"Simplify: 3(x + 2) – 2(2x – 1)"
"Functional relationships (patterns and structures)",Equations and algebra,F,"Use the quadratic formula to solve: x² + 6x + 1 = 0"
"Functional relationships (patterns and structures)",Equations and algebra,G,"Simplify: (3x² – 2x + 1) – (x² + 4x – 5)"
"Functional relationships (patterns and structures)",Equations and algebra,G,"Solve the inequality: 5 – 2x > 3"
"Functional relationships (patterns and structures)",Equations and algebra,H,"Solve the following equation: x⁴ − 5x² + 4 = 0"
"Functional relationships (patterns and structures)",Equations and algebra,H,"Write x³ − 27 as a product of factors"
"Functional relationships (patterns and structures)",Equations and algebra,H,"Solve the equation with fractions: (x⁄2) + (1⁄3) = (5⁄6)"
"Functional relationships (patterns and structures)",Equations and algebra,H,"Rewrite the fraction 3⁄(2 + √5) so that the denominator has no square root"
"Functional relationships (patterns and structures)",Other functional relationships,B,"If you double 2, then double again, what number do you get?"
"Functional relationships (patterns and structures)",Other functional relationships,C,"Fill in the blanks: x: 1 | 2 | 3 | 4 | 5 → y: 2 | 4 | 8 | 16 | ___"
"Functional relationships (patterns and structures)",Other functional relationships,C,"Complete the pattern: 1, 4, 9, 16, ___, ___ (hint: square numbers)"
"Functional relationships (patterns and structures)",Other functional relationships,D,"Identify the pattern: y = 2^x"
"Functional relationships (patterns and structures)",Other functional relationships,D,"Which graph shows exponential growth: y = 2^x or y = x + 2?"
"Functional relationships (patterns and structures)",Other functional relationships,D,"What kind of function is y = 3^x — linear, quadratic, or exponential?"
"Functional relationships (patterns and structures)",Other functional relationships,D,"Sketch or describe how the graph of y = x² is different from y = 2x."
"Functional relationships (patterns and structures)",Other functional relationships,E,"A savings account offers 4% interest compounded annually. If you deposit €1,000, how much is in the account after 3 years? Use A = P(1 + r)ⁿ"
"Functional relationships (patterns and structures)",Other functional relationships,E,"A function is given as y = 100(0.85)ˣ. Is it exponential growth or decay? Justify"
"Functional relationships (patterns and structures)",Other functional relationships,E,"Complete the table for y = √x, for x = 0, 1, 4, 9, 16"
"Functional relationships (patterns and structures)",Other functional relationships,E,"Identify whether the function y = 1/x² represents growth, decay, or neither as x → ∞. Justify your answer"
"Functional relationships (patterns and structures)",Other functional relationships,F,"Evaluate y = 1/x for x = 0.5, 1, 2, 4. What happens as x increases?"
"Functional relationships (patterns and structures)",Other functional relationships,F,"Use a calculator to approximate x if 3^x = 20"
"Functional relationships (patterns and structures)",Other functional relationships,F,"An isotope has a half-life of 6 hours. How much remains of 200 g after 18 hours?"
"Functional relationships (patterns and structures)",Other functional relationships,F,"Graph y = –1/x and describe its symmetry"
"Functional relationships (patterns and structures)",Other functional relationships,G,"Identify whether the function f(x) = √(x – 1) is defined at x = 0"
"Functional relationships (patterns and structures)",Other functional relationships,G,"Solve the following equation: log₂(x) = 4"
"Functional relationships (patterns and structures)",Other functional relationships,G,"Evaluate sin(30°), cos(60°), and tan(45°)"
"Functional relationships (patterns and structures)",Other functional relationships,G,"Solve the system: y = x² and y = 2x + 3"
"Functional relationships (patterns and structures)",Other functional relationships,G,"Identify the intervals where f(x) = x² – 4x is increasing"
"Functional relationships (patterns and structures)",Other functional relationships,G,"If f(x) = x² + 2 and g(x) = x – 1, find (f ∘ g)(3)"
"Functional relationships (patterns and structures)",Other functional relationships,H,"Simplify: log₂(32) + log₂(4)"
"Functional relationships (patterns and structures)",Other functional relationships,H,"Determine the x-intercepts of f(x) = (x − 1)(x + 2)(x − 3)"
"Functional relationships (patterns and structures)",Other functional relationships,H,"If g(x) = √x and h(x) = x + 2, find the composition g(h(x))"
"Functional relationships (patterns and structures)",Other functional relationships,H,"Find the value of y if y = x² + ln(x), and x = 2"
"Functional relationships (patterns and structures)",Other functional relationships,H,"Solve for x: log₃(x − 1) = 2"
